price;height;width;picture;house;csigned
24.20575;39.400002;25.700001;221;2;Signed
1.9119999;23.9;32.099998;222;2;Signed
.82499999;29.1;36.5;223;2;Signed
.88599998;14;28.700001;224;1;Signed
.55316001;14;28.700001;224;2;Signed
.42050001;31.5;25.299999;225;1;Not Signed
1.33126;31.5;25.200001;226;2;Signed
2.1415801;31.5;25.200001;226;3;Signed
1.33346;26.4;32.299999;227;2;Signed
1.11466;21.700001;29.1;228;2;Signed
.70889503;25.700001;32;229;1;Signed
3.0250001;24;39.5;230;2;Signed
2.8527;15;20.700001;231;2;Signed
.56099999;21.299999;31.1;232;2;Signed
1.188879;19.700001;31.9;233;1;Signed
.96021098;28.700001;36.200001;234;3;Signed
2.0899999;25.6;39.599998;235;1;Signed
7.1525002;25.6;36.299999;236;2;Signed
6.71;25.6;36.200001;237;2;Signed
7.046;45.900002;28.6;238;1;Not Signed
8.25;36.299999;28.700001;239;1;Signed
11.0025;36.200001;29.1;240;2;Signed
1.17073;24.4;19.700001;241;1;Signed
20.1675;31.9;36.200001;242;1;Signed
.82749999;28.700001;36.299999;243;1;Not Signed
.81725502;23.6;31.9;244;2;Signed
.81957698;19.700001;28.700001;245;1;Signed
.63049799;19.700001;28.700001;245;2;Signed
2.7557499;51.5;35.099998;246;2;Signed
2.3594999;51.5;35;246;1;Signed
2.4200001;51.200001;35;246;2;Signed
4.6199999;28.9;36.200001;247;1;Signed
3.3;25.6;36.200001;248;1;Signed
5.72575;35.400002;36.5;249;2;Signed
1.57915;28;35.400002;250;2;Signed
4.935915;35.200001;36.099998;251;1;Signed
.219005;18.1;21.700001;252;2;Signed
11.9925;28.700001;36.200001;253;2;Signed
.214306;4.5999999;7.5;254;2;Signed
.112537;3.9000001;6.6999998;255;2;Signed
2.2;23.6;39.599998;256;1;Signed
2.53;28.700001;36.400002;257;1;Signed
14.323005;28.700001;36.200001;258;2;Signed
8.5249996;25.6;39.400002;259;2;Signed
1.7625;25.5;32.200001;260;2;Signed
.33250001;25.5;39.5;261;1;Not Signed
.94099998;25.799999;39.599998;262;1;Signed
.76999998;25.799999;32.099998;263;1;Signed
1.65948;18.1;29;264;2;Signed
3.0309999;19;29;265;1;Signed
1.65;18;22;266;2;Signed
.4425;21.9;29;267;2;Signed
2.3150401;34.099998;35.400002;268;1;Not Signed
20.061979;31.9;36.599998;269;2;Signed
7.1557498;36.299999;28.700001;270;2;Signed
8.3657503;39.400002;32;271;2;Signed
4.9029431;39.400002;39.400002;272;2;Signed
5.0625;39.400002;39.400002;272;2;Signed
5.0625;39.400002;32;272;1;Signed
5.7775002;53.099998;57.099998;273;2;Not Signed
13.2025;35;39.799999;274;1;Signed
3.3025;31.299999;31.299999;275;1;Signed
.070225999;10.6;20.5;276;2;Not Signed
.23360001;10.6;20.5;276;2;Not Signed
.098999999;10.6;20.5;276;1;Not Signed
.010413;9.3999996;9.3999996;277;3;Not Signed
.198;26.9;21.4;278;2;Not Signed
.46240401;28.700001;21.5;279;3;Not Signed
9.46;42;28.700001;280;2;Signed
8.8000002;35.5;28.5;281;2;Signed
5.7199998;51.599998;37.400002;282;1;Signed
.017767999;8.3000002;19.700001;283;3;Not Signed
7.6999998;78.699997;78.699997;284;2;Signed
7.48172;39.400002;39.400002;285;2;Signed
3.3;51.200001;59.099998;286;1;Signed
.053507;23.1;21.299999;287;2;Signed
7.6884832;59.099998;78.699997;288;2;Not Signed
.119658;14.2;24.799999;289;3;Not Signed
10.424;36.200001;35;290;2;Signed
4.1515002;66.5;48.5;291;1;Not Signed
18.709499;35;36.299999;292;2;Signed
9.9060001;78.699997;70.900002;293;1;Not Signed
20.906;35.400002;39.400002;294;1;Signed
22.5525;35.200001;36.5;295;1;Signed
.029756;8.3000002;24;296;3;Not Signed
11.55;39.5;39.5;297;1;Signed
10.354815;36.200001;35;298;2;Signed
.028022001;19.5;10;299;3;Not Signed
4.4000001;51.299999;77.800003;300;1;Not Signed
.90750003;47;14.6;301;2;Signed
.33000001;25.6;36.400002;302;1;Signed
.82499999;25.5;32;303;2;Signed
5.9425001;28.700001;23.5;304;2;Signed
.41800001;28.9;31.5;305;2;Signed
6.17242;36.200001;28.700001;306;2;Signed
6.630157;36.599998;29.299999;307;1;Signed
4.0395002;36.400002;25.6;308;1;Signed
.34770101;19.9;14.8;309;2;Signed
.671;24;20.1;310;2;Signed
.3985;24;18.6;311;2;Signed
2.1507299;25.799999;36.599998;312;2;Signed
.82499999;25.799999;36.599998;312;1;Signed
7.4726;39.400002;25.6;313;2;Signed
4.8212981;28.700001;36.200001;314;1;Signed
.71499997;32.099998;25.6;315;1;Signed
.88249999;23.6;39.400002;316;1;Signed
.57956398;21.5;28.9;317;1;Signed
.44;24;32.5;318;1;Signed
1.65575;25.5;31.799999;319;2;Not Signed
5.9425001;36.200001;35;320;1;Signed
2.8599999;35;36.200001;321;2;Signed
.440718;18.299999;15;322;2;Signed
.352;16.1;13.4;323;2;Signed
.23100001;15.9;13;324;2;Signed
.71749997;22.1;14.9;325;1;Signed
.3985;17.799999;15;326;2;Signed
1.7995;23.200001;27.5;327;1;Signed
4.200211;28.700001;36.200001;328;1;Signed
.25299999;25.6;31.9;329;1;Not Signed
1.65;23.200001;31.700001;330;1;Signed
.71749997;25.5;36.299999;331;1;Signed
1.76;35.400002;36.200001;332;1;Signed
1.29116;35.400002;36.200001;333;2;Signed
1.4299999;25.5;32;334;1;Signed
1.0475;44.099998;34;336;1;Not Signed
1.4299999;40.200001;29.5;337;2;Not Signed
.53899997;31.9;25.6;338;2;Signed
3.1146801;25.799999;32.099998;339;2;Signed
.3105;16.700001;23.299999;340;1;Signed
.51651597;18.9;29.1;341;2;Signed
.97922802;18.9;29.1;341;2;Signed
6.5999999;25.5;36.200001;342;2;Signed
2.5;23.6;28.700001;343;3;Signed
.19857;19.700001;24;344;2;Not Signed
11.4096;28.299999;35.799999;345;2;Signed
1.325564;28.700001;36.200001;346;2;Signed
1.7625;19.700001;25.6;347;1;Signed
.61449999;24.4;29.5;348;2;Signed
1.157517;28.700001;21.299999;349;2;Signed
.39916599;22;18.1;350;3;Not Signed
.84750003;25.700001;39.400002;351;1;Signed
6.9024401;19.700001;27.6;352;1;Signed
1.051;23.700001;29;353;1;Signed
.18263599;14.5;11.6;354;1;Not Signed
1.3;23.6;32.099998;355;1;Signed
4.5100002;25.6;31.9;356;2;Signed
.67949998;29;36.5;357;1;Signed
.84186602;23.6;28.700001;358;2;Signed
.20601501;28.700001;28.700001;359;3;Not Signed
1.4325;39.5;32;360;2;Signed
.792;19.799999;14.8;361;2;Signed
7.5396581;23.6;39.400002;362;1;Signed
4.9992728;35.400002;36.5;363;2;Signed
2.2025001;28.9;37;364;2;Signed
4.0760002;23.799999;31.299999;365;1;Signed
1.1059999;17.200001;25.9;366;1;Signed
.374598;7.0999999;15.1;367;1;Signed
.66250002;20.5;25.200001;368;1;Signed
3.7425001;25.5;31.5;369;2;Signed
.544554;21.299999;28.700001;370;2;Signed
4.5124998;21.299999;28.9;371;2;Signed
5.5025001;55.099998;59.099998;372;1;Not Signed
1.87;24;31.9;373;2;Signed
3.8499999;25.6;39.400002;374;1;Signed
5.2824998;25.6;39.400002;375;1;Signed
9.3525;25.9;39.599998;375;2;Signed
8.2524996;25.6;39.599998;375;1;Signed
3.4100001;25.6;39.400002;386;2;Signed
1.5425;25.700001;32;387;1;Signed
